City,OGHG emissions
Qitaihe,300.1926215
Wanning,569.3488354
Sanya,3798.25642
Sanming,1388.555046
Sanmenxia,837.49532
Shanghai,22997.11232
Shangrao,1427.571523
Dongfang,399.030382
Dongguan,6460.901165
Dongying,913.6999355
Zhongwei,429.8863708
Zhongshan,2613.136551
Linxia,338.0497784
Linfen,1626.449236
Linyi,2470.443072
Lincang,715.409986
Lingao,240.6174946
Dandong,1337.970433
Lishui,312.362427
Lijiang,663.1865247
Ulanqab,563.2262601
Wuhai,1034.915934
Urumqi,33611.18774
Ledong,579.2738143
Leshan,994.360007
Jiujiang,899.2350443
Yunfu,816.6750761
Wujiaqu,910.0774896
Wuzhishan,160.6355445
Bozhou,1391.251145
Xiantao,259.3802189
Yichun,442.5547668
Ili,5382.6993
Foshan,5134.814416
Jiamusi,946.9383992
Baoting,209.3763497
Baoding,4035.763978
Baoshan,899.8616794
Xinyang,1490.757787
Danzhou,1047.528951
Kizilsu,1327.886341
Karamay,3074.577167
Lu'an,800.0936418
Liupanshui,663.0040558
Lanzhou,5296.805324
Xingan,1940.913739
Neijiang,859.5819542
Liangshan,1011.516925
Baotou,3395.377455
Beijing,48920.4526
Beitun,414.2578535
Beihai,1549.389687
Shiyan,1006.141137
Nanjing,5852.301248
Nanchong,1529.022513
Nanning,4826.255346
Nanping,1783.905552
Nanchang,2297.58813
Nantong,3371.588344
Nanyang,1741.643245
Bortala,1483.975976
Xiamen,10758.98
Shuanghe,0
Shuangyashan,498.8684882
Kekedala,0
Taizhou,1362.734453
Hefei,3563.000581
Ji'an,1050.930199
Jilin,1378.564172
Turpan,1205.480333
Lvliang,861.1522937
Wuzhong,567.2375492
Zhoukou,1535.784865
Hulunbuir,1114.676979
Hohhot,7681.773259
Hotan,1892.674603
Xianning,476.049603
Xianyang,1472.643686
Hami,3925.15766
Harbin,9075.803579
Tangshan,2055.33282
Shangqiu,2443.738799
Shangluo,332.5163631
Kashgar,6790.800963
Jiaxing,1862.431043
Jiayuguan,644.890855
Siping,504.162956
Guyuan,167.4968145
Tumushuke,775.9059487
Tacheng,2173.154734
Daxing'anling,214.5383453
Datong,917.122305
Daqing,1849.858012
Dali,2173.111082
Dalian,3419.233354
Tianshui,517.6477272
Tianjin,14222.2543
Tianmen,297.8303455
Taiyuan,4198.622315
Weihai,2552.144678
Loudi,788.3995637
Xiaogan,749.5022901
Ningde,1772.690989
Ningbo,3388.064406
Anqing,884.5259431
Ankang,592.1137694
Anyang,2207.47059
Anshun,766.0214875
Ding'an,170.4403817
Dingxi,618.5363434
Yibin,1481.274008
Yichang,1113.399438
Yichun,909.4880301
Baoji,932.706702
Xuancheng,501.3018549
Suzhou,1131.164755
Suqian,1870.114922
Tunchang,130.4720134
Shannan,672.1595524
Yueyang,771.7261243
Chongzuo,626.3107437
Bazhong,936.9746017
Bayannur,3426.162172
Bayingolin,10286.13267
Changzhou,2021.266187
Changde,934.4037545
Pingliang,286.4595769
Pingdingshan,951.0954998
Guangyuan,758.7678727
Guang'an,786.9277591
Guangzhou,12360.24238
Qingyang,293.7105817
Langfang,3581.463528
Yan'an,423.8158106
Yanbian,657.8234303
Kaifeng,1774.046804
Zhangjiakou,1596.805961
Zhangjiajie,319.1614428
Zhangye,717.3968499
Xuzhou,3842.475774
Dehong,839.6934715
Dezhou,808.6899525
Deyang,1075.238765
Xinzhou,885.5227386
Huaihua,884.2114147
Nujiang,156.2779677
Enshi,831.0005421
Huizhou,3174.446883
Chengdu,13714.7055
Yangzhou,1107.773837
Chengde,1621.47012
Fuzhou,737.0751364
Fushun,466.9700113
Lhasa,7433.670934
Jieyang,1327.175934
Panzhihua,1154.722529
Wenshan,702.5645047
Wenchang,572.0898044
Xinxiang,2266.386615
Xinyu,259.7903181
Wuxi,2964.263686
Shigatse,793.5352607
Rizhao,1481.121976
Kunming,10417.96848
Kunyu,185.8005686
Changji,6316.733913
Changjiang,260.28493
Changdu,500.338965
Zhaotong,968.5809782
