City,Net GHG Transfer
Qitaihe,300.1176437
Wanning,314.512903
Sanya,3798.002778
Sanming,-547.189054
Sanmenxia,-284.5149573
Shanghai,14385.43399
Shangrao,-2596.883558
Dongfang,398.9790239
Dongguan,1642.629757
Dongying,335.5962547
Zhongwei,368.9629542
Zhongshan,1394.593179
Linxia,315.1010553
Linfen,-250.7573486
Linyi,-6759.814606
Lincang,715.2857557
Lingao,186.2455711
Dandong,1337.528219
Lishui,169.093752
Lijiang,276.7464974
Ulanqab,-3442.557154
Wuhai,1013.784762
Urumqi,31410.65257
Ledong,515.7975808
Leshan,993.6747073
Jiujiang,-3051.699823
Yunfu,-1075.412823
Wujiaqu,882.9037261
Wuzhishan,133.7558181
Bozhou,1101.369467
Xiantao,-1143.923723
Yichun,442.3497812
Ili,5216.682847
Foshan,-2473.142336
Jiamusi,774.5562608
Baoting,205.0707611
Baoding,-3903.094163
Baoshan,789.1559916
Xinyang,-3609.119405
Danzhou,1003.877209
Kizilsu,1039.13647
Karamay,3036.454235
Lu'an,-340.8192933
Liupanshui,441.5164917
Lanzhou,-1122.639311
Xingan,1940.811125
Neijiang,-1131.842555
Liangshan,-130.4117747
Baotou,2408.424246
Beijing,26124.55063
Beitun,395.2950271
Beihai,1522.222299
Shiyan,93.30155976
Nanjing,1781.178177
Nanchong,230.1845573
Nanning,3565.595086
Nanping,739.5200827
Nanchang,-163.5264112
Nantong,2304.955406
Nanyang,-861.9129262
Bortala,1319.876593
Xiamen,9343.130978
Shuanghe,-0.82954202
Shuangyashan,486.6279892
Kekedala,-0.000220143
Taizhou,1080.313249
Hefei,-1570.882669
Ji'an,-3080.00088
Jilin,1030.513797
Turpan,-1990.788115
Lvliang,802.0407633
Wuzhong,-216.0875843
Zhoukou,-241.3701693
Hulunbuir,971.3786501
Hohhot,5796.309262
Hotan,1871.637135
Xianning,-2911.467867
Xianyang,-6849.18937
Hami,-9392.860699
Harbin,6186.588787
Tangshan,-1481.306275
Shangqiu,1163.449922
Shangluo,-1420.78136
Kashgar,6634.562477
Jiaxing,-1068.785426
Jiayuguan,-589.2424626
Siping,-1138.471134
Guyuan,-2066.826978
Tumushuke,775.9011866
Tacheng,1805.031674
Daxing'anling,-337.5681428
Datong,-236.8321669
Daqing,1690.587633
Dali,1428.172753
Dalian,3406.07666
Tianshui,431.673909
Tianjin,-2551.545631
Tianmen,-438.0099242
Taiyuan,3489.443207
Weihai,2547.270094
Loudi,470.6800447
Xiaogan,-6462.455024
Ningde,1035.207487
Ningbo,2076.07163
Anqing,-2894.001198
Ankang,-286.7967153
Anyang,938.2290099
Anshun,431.052414
Ding'an,11.6786601
Dingxi,-2325.849252
Yibin,99.0474226
Yichang,-1218.371715
Yichun,-1404.319307
Baoji,-405.9904915
Xuancheng,-300.755014
Suzhou,-690.6267972
Suqian,-3150.987361
Tunchang,78.12796622
Shannan,568.2885634
Yueyang,-6024.805639
Chongzuo,604.2739916
Bazhong,778.318624
Bayannur,2127.998094
Bayingolin,6592.565669
Changzhou,-3142.923449
Changde,-16.8197504
Pingliang,-8601.5176
Pingdingshan,-1595.362286
Guangyuan,-993.7959641
Guang'an,-138.6627317
Guangzhou,-2918.4749
Qingyang,-1531.927226
Langfang,-9989.16692
Yan'an,-535.566526
Yanbian,540.4714414
