City,EGHG emissions
Qitaihe,0.073338474
Wanning,253.2673836
Sanya,0.251262343
Sanming,798.9044136
Sanmenxia,379.1326596
Shanghai,8155.61353
Shangrao,895.8138073
Dongfang,0.050415923
Dongguan,4153.491655
Dongying,406.0230783
Zhongwei,10.25558873
Zhongshan,1001.651494
Linxia,127.5422108
Linfen,109.3971303
Linyi,2635.859299
Lincang,0.108749409
Lingao,53.94589927
Dandong,1.906805623
Lishui,102.4204415
Lijiang,312.1772842
Ulanqab,2611.97086
Wuhai,13.2776713
Urumqi,939.4084004
Ledong,63.08718993
Leshan,34.74092079
Jiujiang,2025.444652
Yunfu,1564.257501
Wujiaqu,26.08056139
Wuzhishan,26.72924804
Bozhou,74.65290664
Xiantao,564.437759
Yichun,12.29275215
Ili,152.9520131
Foshan,6485.098904
Jiamusi,79.43416556
Baoting,4.288148345
Baoding,4938.037568
Baoshan,97.13404234
Xinyang,3011.384727
Danzhou,43.32675186
Kizilsu,29.16625824
Karamay,36.57549863
Lu'an,356.5611919
Liupanshui,134.580583
Lanzhou,1360.828507
Xingan,4.216042144
Neijiang,1169.171346
Liangshan,910.2378624
Baotou,345.4042556
Beijing,20711.17021
Beitun,17.93886371
Beihai,2.66164358
Shiyan,372.4611667
Nanjing,3229.763565
Nanchong,808.769443
Nanning,823.9826731
Nanping,357.1168664
Nanchang,1509.468783
Nantong,266.8412041
Nanyang,463.7497892
Bortala,142.8964452
Xiamen,1171.391472
Shuanghe,0.778934716
Shuangyashan,11.95805712
Kekedala,0.000220143
Taizhou,203.8186412
Hefei,2129.243767
Ji'an,1472.610778
Jilin,309.6257827
Turpan,1075.784249
Lvliang,69.37889704
Wuzhong,587.0032403
Zhoukou,479.7776357
Hulunbuir,115.2348093
Hohhot,1125.430316
Hotan,39.56050275
Xianning,2164.184364
Xianyang,3291.013174
Hami,1229.642154
Harbin,1489.256152
Tangshan,1584.602617
Shangqiu,784.2409019
Shangluo,507.2555617
Kashgar,34.54358227
Jiaxing,1744.350662
Jiayuguan,108.9356941
Siping,1092.437168
Guyuan,656.3821404
Tumushuke,0.004400871
Tacheng,338.6888277
Daxing'anling,177.7173494
Datong,871.8814215
Daqing,145.9989609
Dali,667.8289524
Dalian,24.30757267
Tianshui,319.1284491
Tianjin,12242.22387
Tianmen,79.41123585
Taiyuan,620.7505471
Weihai,4.930538421
Loudi,195.8871677
Xiaogan,5391.9153
Ningde,356.9009378
Ningbo,924.4490056
Anqing,1078.941166
Ankang,334.0025986
Anyang,298.8511409
Anshun,177.9676574
Ding'an,157.7037375
Dingxi,1019.007258
Yibin,1192.48981
Yichang,556.4196203
Yichun,1098.641281
Baoji,586.0066685
Xuancheng,311.1962664
Suzhou,717.5422328
Suqian,2703.470543
Tunchang,52.01529782
Shannan,18.94168051
Yueyang,3312.593245
Chongzuo,21.89870818
Bazhong,29.94171589
Bayannur,305.9741546
Bayingolin,760.5494778
Changzhou,2925.42638
Changde,355.509449
Pingliang,2612.271677
Pingdingshan,1036.203091
Guangyuan,421.5986615
Guang'an,114.1049012
Guangzhou,11541.65226
Qingyang,1471.4412
Langfang,8882.400941
Yan'an,712.8081031
Yanbian,99.00229245
Kaifeng,561.070398
Zhangjiakou,2476.680431
Zhangjiajie,108.3395822
Zhangye,577.4607403
Xuzhou,1308.455954
Dehong,46.98369607
Dezhou,5728.240275
Deyang,1423.683342
Xinzhou,1102.157466
Huaihua,265.3254901
Nujiang,3.626682839
Enshi,537.620611
Huizhou,4762.947605
Chengdu,8349.996322
Yangzhou,2857.233073
Chengde,34.86023048
Fuzhou,623.2244719
Fushun,234.6742085
Lhasa,87.43962006
Jieyang,3671.707475
Panzhihua,249.2057358
Wenshan,6.187675814
Wenchang,0.281526031
Xinxiang,872.0396716
Xinyu,584.3074431
Wuxi,3347.359195
Shigatse,18.25521633
Rizhao,103.939545
Kunming,1442.904627
Kunyu,0
Changji,230.5345417
Changjiang,13.87461949
Changdu,150.2631495
Zhaotong,3760.632941
Jinzhong,926.9255568
Jincheng,45.06096503
Pu'er,248.1965099
Jingdezhen,231.0112094
Qujing,2184.025019
Shuozhou,382.213837
Chaoyang,48.09620743
Benxi,94.97009509
Laibin,272.3300344
Hangzhou,2143.859762
Songyuan,704.4419227
Linzhi,102.0185079
Guoluo,12.95719993
Zaozhuang,441.3230176
Liuzhou,593.7525566
Zhuzhou,439.1654997
Guilin,720.9800211
Meizhou,947.9170402
Wuzhou,1102.856269
Chuxiong,296.4894957
Yulin,66.55587979
Wuwei,403.2125857
Wuhan,8459.98261
Bijie,1075.583948
Yongzhou,250.5107724
Hanzhong,440.8630443
Shantou,1167.840667
Shanwei,1148.079359
Jiangmen,2993.588372
Chizhou,220.3892877
Shenyang,3086.429473
