City,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
Qitaihe,40212,29263,31547,29708,33250,48354,33347,35696,40077,40101,50513,37344
Wanning,173176,81675,71678,60072,56026,67452,62205,62538,65530,71034,110385,132720
Sanya,766027,450152,436118,364527,350363,397286,330967,359214,417075,441497,638751,689874
Sanming,309355,181120,206546,191166,201842,287571,187004,206531,251302,237115,338609,252101
Sanmenxia,175133,118211,127114,118503,126777,176716,125194,135564,152079,150252,204298,150970
Shanghai,13479496,11380845,12509641,11797149,13099197,17358133,12533812,13191500,14412285,14813340,19900227,14650973
Shangrao,458727,286625,301849,286014,310335,413203,302255,341387,388258,389912,490817,399023
Dongfang,95418,47207,45949,39735,38363,49314,37921,41690,48299,56456,80387,74573
Dongguan,3510992,3577488,3917268,3653215,3892014,4879374,3794746,3999594,4366215,4161740,5509099,4629772
Dongying,383891,270576,295200,279755,309210,409626,304045,330738,382115,377875,496452,371591
Zhongwei,58577,45351,46517,43712,45609,56124,47211,51687,49718,54063,69113,56953
Zhongshan,1466386,1375374,1534248,1493124,1610391,1983814,1506119,1644314,1812286,1742684,2257146,1906780
Linxia,46302,39804,41872,41515,43091,55147,43245,47435,51032,49877,69068,50520
Linfen,341586,187719,197747,186988,207031,289875,212885,240956,278892,273723,351902,268801
Linyi,1209461,828948,894568,950844,997387,1386487,951960,1041688,1261790,1150582,1530918,1077725
Lincang,61734,49025,53342,49795,53046,68717,50297,54343,61838,53597,68750,57621
Lingao,65485,31538,30881,26362,27154,33383,28037,29691,31976,34623,50117,52787
Dandong,368251,228487,255244,244691,268579,350033,281799,295437,320741,324199,399103,316298
Lishui,205041,148212,172147,153010,168485,235415,165015,184125,202847,207205,285435,210804
Lijiang,66902,56024,64127,66435,65737,82708,70850,72323,76144,73862,89119,69236
Ulanqab,183674,125727,135216,121059,132448,177508,141073,152306,189422,165022,204599,159301
Wuhai,53486,51107,56088,48322,50552,69296,49008,53045,70290,64397,80684,57703
Urumqi,779970,758225,765417,667911,700665,1000656,636310,670191,756600,673447,1059524,702040
Ledong,135767,65602,58794,47912,47038,56227,44731,51032,58057,67777,102972,106046
Leshan,404071,286498,309190,311119,331589,425930,352547,365638,398327,399973,481335,408948
Jiujiang,497333,317087,335929,319792,345999,469683,333906,357307,440803,424416,564091,440511
Yunfu,460293,268643,299926,292281,334269,412608,294800,325550,392375,370275,479516,391794
Wujiaqu,50976,47345,52000,47867,50644,62471,50450,52724,55096,55786,72856,59513
Wuzhishan,36556,19765,19034,15810,15776,18209,15419,16161,17680,20596,30932,32152
Bozhou,391007,283451,306774,346163,346288,402175,262937,299969,347243,314924,427104,329676
