City,Outsourced Distance
Beijing,188.2265474
Shanghai,227.8989335
Chongqing,372.4490074
Urumqi,2912.944571
Shenzhen,186.5061735
Tianjin,244.1790943
Chengdu,610.3360669
Guangzhou,179.6383154
Suzhou,377.9867313
Qingdao,530.5100482
Zhengzhou,618.9251255
Nanjing,267.0841974
Xi'an,446.2803994
Harbin,803.1771161
Xiamen,746.236719
Bayingolin,2510.415589
Dongguan,175.8017261
Dalian,552.8461252
Kunming,994.6558288
Changsha,455.6440967
Fuzhou,762.7162907
Shenyang,1398.601091
Changchun,549.1646012
Hangzhou,328.0046908
Nanning,684.7500019
Quanzhou,412.0792049
Shijiazhuang,434.1966015
Foshan,207.2084534
Hefei,382.4309604
Wuhan,796.0297144
Jinan,163.1218713
Nantong,290.6101449
Baoding,229.0245675
Hohhot,935.7020691
Xuzhou,299.3281449
Changji,1312.257977
Kashgar,2555.799074
Lanzhou,849.0886366
Taiyuan,651.6565515
Langfang,183.6321659
Yantai,489.0422701
Lhasa,2087.826865
Zhanjiang,430.0977604
Ili,1777.496429
Shantou,417.5112068
Wuxi,160.3627331
Ningbo,305.5395367
Haikou,884.8430842
Guiyang,743.8798479
Huizhou,253.5549072
Weifang,285.3989891
Linyi,301.5615599
Ganzhou,648.9289113
Zhuhai,243.2482696
Wenzhou,484.154188
Zhongshan,180.3817989
Aksu,1939.701121
Changzhou,218.9398908
Nanchang,457.0364457
Yancheng,325.9737035
Sanya,613.6347117
Maoming,514.482489
Handan,356.9307898
Yinchuan,857.3329987
Cangzhou,280.7263293
Anshan,551.428888
Jieyang,347.1673992
Meizhou,427.6248468
Tangshan,387.3874532
Suqian,461.1239846
Hami,2267.806343
Jiangmen,216.4465868
Lianyungang,359.4497856
Xining,1024.229071
Baotou,568.9041944
Zhangzhou,341.4171051
Luoyang,502.634239
Mianyang,268.2581509
Chaozhou,403.39059
Karamay,1331.157603
Xinyang,326.3493021
Jining,374.0992994
Jinhua,373.1617045
Heze,280.0390169
Qinhuangdao,361.4694567
Nanyang,350.8188417
Huai'an,328.3352863
Fuyang,482.6547651
Weihai,401.8866472
Putian,453.2507746
Chengde,380.2257181
Shihezi,1236.987961
Bayannur,2109.403092
Xingtai,312.4560076
Jiaxing,166.7839735
Yulin,576.1372709
Ordos,683.8769765
Zhangjiakou,394.4676367
Dazhou,500.2695218
Ningde,502.3520602
Guilin,361.8923468
Taizhou,278.9796515
Shaoyang,430.5881986
Zhaoqing,234.3280046
Nanchong,470.212933
Yibin,417.465571
Zhoukou,292.5351867
Xianyang,190.6167475
Daqing,624.6148785
Zibo,284.9727044
Jilin,432.4314751
Rizhao,414.5708488
Shangqiu,351.3906631
Yangzhou,236.310392
Shaoxing,223.4906406
Liuzhou,671.1003211
Chifeng,613.2794655
Tai'an,238.4967738
Luzhou,435.2616382
Hengyang,511.4925794
Yulin,391.7778857
Dali,711.103551
Dandong,546.917245
Chaoyang,701.5624974
Yongzhou,467.9995517
Xinxiang,344.0458208
Qingyuan,208.1411049
Bozhou,473.3848131
Anyang,402.8028356
Shaoguan,311.6435328
Suzhou,413.1364244
Tacheng,1478.273496
Nanping,613.6460605
Chenzhou,491.1521499
Guigang,516.2148438
Wuhu,277.6319625
Shanwei,292.4870724
Zhenjiang,249.3116219
Zunyi,556.7590975
Yangjiang,377.948376
Heyuan,304.4755537
Zhuzhou,341.4032306
Zaozhuang,341.6043491
Huanggang,221.1689461
Yichang,417.556488
Honghe,906.9880037
Xingan,1908.232544
Xiangyang,402.3948405
Baoji,288.1301829
Shangrao,374.0960775
Qujing,627.2642472
Taizhou,272.3120709
Suihua,560.9555691
Qiqihar,768.9415084
Zhumadian,390.6580736
Wuzhou,430.1511075
Puyang,473.2144311
Liaocheng,207.1915131
Kaifeng,356.2342016
Linfen,507.9984457
Dongying,368.4506789
Hotan,2371.349277
Ji'an,386.4767716
Beihai,524.8289611
Chuzhou,301.8250796
Lu'an,334.5461436
Xuchang,367.1655453
Meishan,265.4382262
Jingzhou,340.6073096
Hanzhong,538.7119834
Anqing,340.9429902
Leshan,327.3938532
Changde,301.4277052
Huaihua,512.5310595
Datong,475.9348606
Jinzhong,440.6381085
Deyang,193.9453651
Yichun,319.7285903
Yuncheng,434.8936316
Zigong,400.8631914
Weinan,194.1965585
Bazhong,504.6558517
Longyan,388.126956
Binzhou,264.7919888
Jiujiang,278.1654229
Sanming,465.9912281
Enshi,558.1008819
Bengbu,346.8624228
Baise,540.1715728
Jiuquan,1182.874279
Hengshui,340.6453932
Ankang,410.6663074
Yingkou,361.9805539
Neijiang,337.1137459
Pingdingshan,339.019908
Qiandongnan,694.8372208
Suining,292.4555513
Loudi,397.9519931
Shiyan,421.6322294
Hulunbuir,800.6853459
Altai,1461.774
Yunfu,283.6800821
Jiaozuo,371.9704345
Guang'an,355.3593877
Jinzhou,465.1142563
Huludao,343.3535893
Jiamusi,814.4500025
Huzhou,188.4430068
Xinzhou,436.1650142
Bortala,2112.600979
Tianshui,547.2959581
Dezhou,193.3413508
Fuzhou,357.4003559
Alaer,2231.523763
Mudanjiang,677.2572852
Yueyang,216.9398497
Tongliao,387.1266019
Qinzhou,427.3719308
Qiannan,549.6083292
Huainan,352.6302069
Lvliang,488.1905662
Guangyuan,404.3790638
Shuozhou,648.2140312
Hezhou,516.6518474
Turpan,1373.595323
Hechi,495.414572
Changzhi,441.3613538
Xishuangbanna,1080.803323
Xiaogan,198.6110065
Yanbian,645.825954
Ma'anshan,303.567051
Zhaotong,714.6311821
Yuxi,627.5939833
Tonghua,396.6237593
Huaibei,461.6521923
Bijie,503.5836307
Kizilsu,2660.503077
Xuancheng,342.1813377
Yiyang,298.0335988
Panjin,384.0821249
Liangshan,595.4712429
Fushun,208.5178816
Xiangtan,294.0596607
Ziyang,288.6268683
Tongren,598.747349
Songyuan,477.246719
Chongzuo,454.8082749
Panzhihua,839.7735746
Xiangxi,644.7140313
Quzhou,337.3904427
Fangchenggang,507.8925702
Jingmen,290.0146433
Lingshui,601.9649493
Chuxiong,754.341205
Lishui,376.346284
Wuhai,1230.410032
Yan'an,341.5262351
Danzhou,531.9658452
Qianxinan,696.4049938
Baoshan,814.223889
Ulanqab,433.5217413
Ya'an,345.6967759
Tieling,234.5868836
Siping,421.4752855
Huangshi,237.7566857
Baicheng,596.8230108
Wujiaqu,1194.11305
Jixi,858.8850477
Luohe,305.6518623
Jingdezhen,443.0682845
Longnan,637.4792973
Sanmenxia,433.2215313
Jincheng,446.3167437
Anshun,464.5594568
Heihe,1013.398902
Fuxin,407.9992904
Zhangye,930.0238962
Lincang,1032.073894
Baiyin,564.53929
Suizhou,279.5810463
Wuwei,705.2077794
Dehong,1145.832326
Liupanshui,584.3969815
Xianning,185.811635
Baishan,554.996431
Shuangyashan,887.6278689
Laibin,408.6227831
Shangluo,288.5902873
Tumushuke,2322.091902
Zhoushan,273.7671855
Pingxiang,406.720883
Dingxi,523.6694162
Benxi,236.3568306
Linzhi,1185.339388
Liaoyang,210.6471304
Qingyang,409.4832979
Yangquan,502.6330545
Pu'er,864.9824821
Tongling,367.6209655
Haixi,1228.567955
Lijiang,718.7473659
Chizhou,390.3538869
Hegang,918.8583644
Pingliang,434.5498972
Jiayuguan,1262.167907
Wenshan,641.0892121
Shigatse,1747.07343
Huangshan,365.7925092
Ledong,665.5414904
Yichun,737.6772271
Chengmai,400.4078408
Wuzhong,545.1952325
Qionghai,461.4906026
Ali,2333.51962
Zhangjiajie,433.7800215
Hebi,548.6647957
Wanning,493.3599596
Yingtan,419.9603377
Haidong,725.0928626
Xilin Gol,409.4534834
Tianmen,351.319851
Shannan,1547.454789
Wenchang,421.9223524
Liaoyuan,458.520068
Shizuishan,598.0281476
Zhongwei,682.8819996
Jinchang,872.2414058
Qitaihe,909.8879151
Xinyu,460.9224828
Dongfang,589.7768814
Guyuan,553.5337759
Changdu,824.0418549
Beitun,1437.503838
Linxia,647.7271019
Xiantao,207.2063486
Ezhou,161.9509481
Jiyuan,448.8155682
Alxa,1302.885431
Tongchuan,213.5300344
Qianjiang,259.3318406
Tiemenguan,1734.989983
Huyanghe,2618.332978
Ganzi,557.2657117
Changjiang,585.6150718
Gannan,792.0535511
Lingao,451.6724541
Baoting,631.2256526
Daxing'anling,1226.555528
Hainan,834.8198867
Nujiang,899.9147989
Diqing,1224.861287
Kunyu,2631.469245
Wuzhishan,561.4985395
Aba,428.4683238
Ding'an,441.7230907
Tunchang,480.6487951
Qiongzhong,543.3091266
Baisha,580.6348129
Haibei,809.5745807
Huangnan,789.017012
Shennongjia,628.237208
Guoluo,1182.364113
Naqu,1987.548
