City,Total Experienced Distances
Beijing,36470170089
Suzhou,26122487883
Tianjin,25497698959
Guangzhou,22618805670
Shanghai,19566233932
Langfang,17989989336
Chongqing,16186653282
Wuhan,13705514778
Chengdu,13237940810
Dezhou,12508204908
Jinan,11894170372
Foshan,11312082207
Jiuquan,10923516542
Ganzhou,10626472760
Linyi,10490101995
Hami,10322126097
Cangzhou,9542414919
Zhumadian,9187963790
Wuxi,9114732617
Huizhou,8963889397
Yueyang,8883880485
Baoding,8863386039
Yangzhou,8783070745
Changzhou,8519790497
Qingyuan,8349560831
Dongguan,8336671519
Xianyang,8155886942
Zhenjiang,7997517060
Shenyang,7889120775
Fuzhou,7703737084
Pingliang,7702595459
Hefei,7556612355
Suqian,7460985120
Heyuan,7434446894
Nanjing,7207263358
Hangzhou,6991108302
Xi'an,6857885099
Xiaogan,6578277547
Hengyang,6435966559
Jiaxing,6301433222
Xingtai,6116786203
Zhangzhou,6085928457
Shangrao,5727326503
Jieyang,5679325929
Changchun,5592568115
Huai'an,5571866313
Changji,5490357578
Lanzhou,5489419674
Tieling,5391462628
Jinhua,5354277581
Shaoxing,5276686705
Changsha,5210547487
Binzhou,5070857283
Jiujiang,5035260626
Tangshan,4979456607
Zhengzhou,4977832631
Quanzhou,4956287295
Anqing,4949719813
Zhaoqing,4882597125
Zhangye,4821258886
Ji'an,4695297348
Xinyang,4535417114
Huludao,4483774469
Tai'an,4451028924
Weifang,4372374444
Hengshui,4306495486
Huanggang,4289983177
Xianning,4191878579
Quzhou,4139800245
Chuzhou,4085216539
Chenzhou,4025179935
Qingdao,3987447221
Weinan,3896945725
Nanchang,3855336869
Xuzhou,3812014586
Wuwei,3787287500
Zibo,3741798870
Jiangmen,3597271259
Jingzhou,3561548686
Huangshi,3560696603
Ma'anshan,3553037349
Suizhou,3543916111
Handan,3493640847
Sanming,3405297828
Ziyang,3405110185
Xuchang,3354625265
Luzhou,3309262910
Deyang,3270561455
Harbin,3179597887
Guilin,3163908499
Jingmen,3153829652
Fuzhou,3145652036
Maoming,3043352507
Bayingolin,2963867539
Xiangtan,2927158976
Zhaotong,2873156191
Qinhuangdao,2861324440
Nanyang,2848895084
Shaoguan,2793236832
Yichun,2782290535
Kaifeng,2770463164
Zhangjiakou,2714066362
Ulanqab,2695979128
Turpan,2674011363
Qiannan,2665467048
Chaozhou,2640186615
Nanning,2611745335
Liaocheng,2598682246
Pingdingshan,2588073839
Yichang,2563218640
Yangjiang,2554955141
Suzhou,2480597363
Dingxi,2442945949
Qiandongnan,2407782077
Huzhou,2365188289
Hanzhong,2359285136
Jinzhou,2337529072
Enshi,2329575698
Xinxiang,2314004059
Shangluo,2308644567
Panjin,2271925441
Anshan,2268140500
Yunfu,2250165257
Guiyang,2229937698
Urumqi,2222127533
Qujing,2206621068
Linfen,2104675235
Taizhou,2104122046
Zhanjiang,2092888828
Ningbo,2091851084
Xiamen,2035471156
Zhongshan,2033462590
Meishan,2019571397
Siping,1997090028
Neijiang,1985089343
Xiangyang,1957276901
Yulin,1942748302
Xiantao,1926618167
Yingtan,1904194781
Ganzi,1887637025
Zhoukou,1882800583
Jinzhong,1881000715
Suining,1872831275
Mianyang,1851085520
Alxa,1847516593
Nanchong,1847267975
Kunming,1840706458
Guyuan,1835952614
Jining,1821532454
Shangqiu,1802082929
Hezhou,1800013234
Shanwei,1797564486
Puyang,1786711088
Changdu,1765665472
Shijiazhuang,1752414963
Wuzhou,1749817194
Nanping,1737421747
Ezhou,1710746533
Aksu,1694220699
Luohe,1692386506
Zunyi,1691814020
Bengbu,1654537208
Changzhi,1633386925
Baoji,1625248067
Zaozhuang,1587559921
Guangyuan,1579684414
Jinchang,1560257062
Baiyin,1535809721
Bijie,1518807909
Hohhot,1506229508
Yingkou,1504639230
Wenzhou,1472823569
Sanmenxia,1452050022
Liaoyang,1445187047
Zhuzhou,1440525433
Anyang,1435874117
Meizhou,1403640039
Qingyang,1375858667
Wuhu,1374306922
Linzhi,1346611511
Liuzhou,1334527819
Lu'an,1319179961
Xinyu,1305110794
Ningde,1278725420
Changde,1253882391
Shiyan,1221994389
Shantou,1218354134
Ya'an,1185399658
Jingdezhen,1172083510
Luoyang,1144523889
Ankang,1140298506
Yan'an,1137849880
Fuyang,1131001215
Putian,1108583118
Yancheng,1102036107
Shenzhen,1074316937
Xuancheng,1051761601
Xinzhou,1047594169
Songyuan,1042680843
Fuxin,1024020705
Zigong,1023264389
Guigang,1022808372
Taiyuan,1022317619
Tongren,1009394621
Jiayuguan,988129776.4
Bayannur,984889778.7
Guang'an,974293986.6
Nantong,955440069.2
Longyan,950844993.5
Dali,939659812.2
Datong,912867816.1
Chizhou,901443860
Huaihua,892680268
Yuncheng,887196243.9
Yibin,886284314.7
Hebi,878485069.8
Yongzhou,875243960
Tianmen,861602337.3
Haikou,842698454.8
Suihua,814606015.7
Huainan,813389024.7
Huaibei,804815502.4
Baise,799757522.4
Heze,782638618.4
Dazhou,772368743.7
Qianjiang,759644939.9
Liangshan,752200211.9
Xiangxi,737989620.3
Baotou,736640384.6
Taizhou,677087822.1
Qinzhou,649732159.5
Wuzhong,628792449.2
Qiqihar,621440021.3
Fushun,580474277.1
Haidong,575743380.5
Laibin,568374888.9
Haixi,567278715.8
Tacheng,564423383.7
Heihe,563519970.6
Yantai,537148432.4
Longnan,523723043.4
Chengde,515260936.8
Jilin,481776212.9
Yiyang,476300212.2
Loudi,472207089.1
Chuxiong,460548507.4
Yuxi,458821496.1
Baicheng,454776290.2
Bozhou,453881152
Dongying,448737094.1
Shaoyang,444013029.3
Wanning,429433573.6
Anshun,422242700.2
Daxing'anling,416732794.3
Lhasa,400191977
Zhangjiajie,394897256.2
Shuozhou,392825951.8
Chaoyang,382832400.6
Huangshan,374385025.6
Lianyungang,345047361.7
Tongchuan,344857818.7
Tongliao,340045217.2
Jiaozuo,336056777.6
Honghe,331200712.4
Pingxiang,327939967.8
Rizhao,320241731.6
Qionghai,304687594.2
Lingshui,285783624.2
Yulin,285166268.8
Benxi,279727439
Ding'an,269072456.8
Tongling,268929746.8
Yinchuan,267401907.7
Ordos,263989847.3
Mudanjiang,263737625.2
Ili,261514545.9
Lijiang,255028931
Hainan,239122195
Pu'er,231988669.9
Naqu,220404884.3
Xining,217296100.1
Tianshui,213370794.6
Qianxinan,207487289.9
Panzhihua,206134577.7
Tonghua,202482979.3
Kizilsu,198706837.3
Jiamusi,195123283.8
Daqing,194452357.1
Lishui,190659978.6
Chengmai,188662136.9
Liupanshui,185013130.8
Bortala,183973372.1
Yushu,157640478.7
Bazhong,135828662.4
Yanbian,118961004.3
Baoshan,117499400.1
Kashgar,113311498
Hulunbuir,112579717.6
Qiongzhong,108463007.8
Ledong,107912363.4
Lvliang,107612871.4
Jincheng,102464717.6
Xishuangbanna,95076310.6
Lingao,93012736.9
Tunchang,88980394.13
Shannan,86648320.75
Danzhou,75183672.99
Karamay,68707377.45
Chongzuo,68575332.9
Hechi,68186253.67
Zhongwei,63410135.15
Gannan,50840758.56
Wujiaqu,49116324.01
Alaer,47942351.15
Wuzhishan,45643670.73
Zhuhai,44926612.47
Linxia,44603437.45
Shihezi,43587360.05
Jiyuan,42555785.64
Dehong,42098971.13
Yangquan,40230516.55
Beihai,34621352.32
Beitun,33863255.62
Shigatse,32622044.85
Jixi,29481288.26
Shuangyashan,25896760.7
Dalian,25514830.04
Wuhai,25436713.29
Changjiang,24141527.65
Haibei,22399959.4
Weihai,22182135.74
Baisha,19286079.75
Aba,18936114.39
Hotan,14809122.4
Chifeng,12569884.32
Diqing,11637418.45
Shizuishan,9450949.684
Baoting,7298397.969
Nujiang,6367751.324
Fangchenggang,5265147.137
Liaoyuan,4628954.265
Wenshan,3774576.561
Guoluo,2408550.176
Huangnan,2203964.155
Baishan,1548352.707
Dandong,1463591.091
Shuanghe,1412733.299
Leshan,956437.929
Wenchang,651125.4951
Tiemenguan,648580.3849
Sanya,482236.2071
Yichun,434441.301
Zhoushan,359832.1849
Xilin Gol,223833.923
Lincang,190410.499
Qitaihe,161231.71
Xingan,120992.799
Altai,89186.52901
Dongfang,80667.504
Hegang,54619.394
Tumushuke,9360.324999
Shennongjia,4116.403
Huyanghe,1602.01
Kekedala,441.441
