City,Experienced Distance
Beijing,70.98610409
Suzhou,75.74215109
Tianjin,85.7218073
Guangzhou,62.55987543
Shanghai,76.21854879
Langfang,48.3139537
Chongqing,163.3278582
Wuhan,80.24809459
Chengdu,97.10408553
Dezhou,65.42031215
Jinan,75.73852085
Foshan,41.81039563
Jiuquan,528.1918455
Ganzhou,216.4809645
Linyi,178.3079733
Hami,493.4323247
Cangzhou,84.08459193
Zhumadian,103.71911
Wuxi,55.3912908
Huizhou,86.09729053
Yueyang,138.520834
Baoding,112.789466
Yangzhou,126.8349803
Changzhou,59.52314471
Qingyuan,174.861513
Dongguan,33.29796024
Xianyang,88.42936698
Zhenjiang,46.45123843
Shenyang,72.50567434
Fuzhou,179.9274563
Pingliang,223.2195943
Hefei,113.0830472
Suqian,70.14573786
Heyuan,100.8788825
Nanjing,69.45674062
Hangzhou,69.68695305
Xi'an,67.48570937
Xiaogan,73.35219618
Hengyang,145.1707154
Jiaxing,79.76110858
Xingtai,108.3020831
Zhangzhou,144.8593627
Shangrao,135.1769559
Jieyang,91.78097293
Changchun,159.9656565
Huai'an,72.39178482
Changji,295.8642955
Lanzhou,182.0131286
Tieling,129.6856092
Jinhua,95.3757942
Shaoxing,73.23666609
Changsha,73.04026146
Binzhou,69.76918097
Jiujiang,109.8756472
Tangshan,108.3006219
Zhengzhou,79.24595166
Quanzhou,120.9151137
Anqing,138.5774323
Zhaoqing,113.4588107
Zhangye,242.669538
Ji'an,171.7719024
Xinyang,92.33178246
Huludao,144.8140173
Tai'an,52.24117558
Weifang,117.6864155
Hengshui,123.1411461
Huanggang,91.97554155
Xianning,74.18736255
Quzhou,111.4707734
Chuzhou,75.54164629
Chenzhou,128.7520405
Qingdao,117.9851003
Weinan,133.7850616
Nanchang,88.72506863
Xuzhou,44.31429833
Wuwei,180.5964533
Zibo,70.67631176
Jiangmen,114.9187122
Jingzhou,88.71492321
Huangshi,86.9153351
Ma'anshan,65.47398779
Suizhou,99.19521252
Handan,78.85294874
Sanming,181.1907575
