City,Average Order Weight
Qitaihe,6.04678162
Wanning,8.475274451
Sanya,9.075347802
Sanming,7.857302721
Sanmenxia,8.281562326
Shanghai,6.619046506
Shangrao,7.840547689
Dongfang,8.49137917
Dongguan,6.963887598
Dongying,7.518095512
Zhongwei,7.292599568
Zhongshan,7.402917217
Linxia,6.324609705
Linfen,7.391411136
Linyi,6.154577449
Lincang,8.044526706
Lingao,8.427519128
Dandong,4.753644914
Lishui,3.775050041
Lijiang,7.98716323
Ulanqab,7.737494626
Wuhai,8.073950161
Urumqi,7.068527528
Ledong,8.983146438
Leshan,7.410242497
Jiujiang,7.586158981
Yunfu,7.76101068
Wujiaqu,7.058426532
Wuzhishan,8.87004587
Bozhou,6.867391552
Xiantao,7.514041091
Yichun,6.151291218
Ili,7.341379734
Foshan,6.786620659
Jiamusi,5.389433916
Baoting,8.978925975
Baoding,7.716924927
Baoshan,7.897744449
Xinyang,6.213964521
Danzhou,8.642692344
Kizilsu,7.701804674
Karamay,7.280226167
Lu'an,6.717254636
Liupanshui,7.759974679
Lanzhou,6.178817323
Xingan,6.814042892
Neijiang,7.456130029
Liangshan,7.056409661
Baotou,7.766544449
Beijing,8.095135625
Beitun,7.156042448
Beihai,6.981808738
Shiyan,7.769625638
Nanjing,6.854910719
Nanchong,6.994047765
Nanning,4.349586128
Nanping,8.081590827
Nanchang,7.188021146
Nantong,6.344907014
Nanyang,8.006775957
Bortala,7.459710242
Xiamen,7.299389122
Shuangyashan,5.651062601
Taizhou,6.341132691
Hefei,6.241204834
Ji'an,7.910068573
Jilin,6.111206317
Turpan,7.28785713
Lvliang,7.319804569
Wuzhong,7.077963492
Zhoukou,7.503769341
Hulunbuir,5.523016301
Hohhot,7.990369057
Hotan,7.012502073
Xianning,6.987228839
Xianyang,5.561576383
Hami,7.480137257
Harbin,5.642734448
Tangshan,6.952909116
Shangqiu,8.185923114
Shangluo,4.269755713
Kashgar,7.315001431
Jiaxing,6.416875344
Jiayuguan,6.343606247
Siping,6.046733157
Guyuan,4.752870412
Tumushuke,7.233538876
Tacheng,7.290082396
Daxing'anling,6.291217041
Datong,7.158623984
Daqing,6.264543193
Dali,7.813411616
Dalian,3.640380605
Tianshui,4.817447649
Tianjin,7.54437104
Tianmen,7.315893366
