City,Outsourced Orders
Beijing,356820983
Shanghai,169464207
Chongqing,76733629
Urumqi,9469402
Shenzhen,136702269
Tianjin,89716287
Chengdu,28269879
Guangzhou,84486906
Suzhou,28632864
Qingdao,20263780
Zhengzhou,16804424
Nanjing,37166873
Xi'an,21986775
Harbin,12109503
Xiamen,12267701
Bayingolin,3573076
Dongguan,50144898
Dalian,15164717
Kunming,8418044
Changsha,17148134
Fuzhou,10223145
Shenyang,5474914
Changchun,13586013
Hangzhou,21371077
Nanning,10066981
Quanzhou,16557876
Shijiazhuang,15421694
Foshan,32008371
Hefei,17057351
Wuhan,8073803
Jinan,38520045
Nantong,20933543
Baoding,26384845
Hohhot,6336171
Xuzhou,18800582
Changji,4155390
Kashgar,2051772
Lanzhou,6137641
Taiyuan,7930651
Langfang,27819212
Yantai,10432484
Lhasa,2440652
Zhanjiang,11707432
Ili,2820034
Shantou,11852503
Wuxi,30346738
Ningbo,15022121
Haikou,5180695
Guiyang,6113940
Huizhou,17461108
Weifang,14615263
Linyi,13290223
Ganzhou,5997768
Zhuhai,15971919
Wenzhou,7976645
Zhongshan,20426665
Aksu,1885860
Changzhou,16506008
Nanchang,7640953
Yancheng,10640775
Sanya,5644969
Maoming,6705864
Handan,9655197
Yinchuan,3742965
Cangzhou,11347926
Anshan,5732755
Jieyang,9075480
Meizhou,7309465
Tangshan,8037153
Suqian,6736492
Hami,1359411
Jiangmen,13550405
Lianyungang,8157940
Xining,2827557
Baotou,5043054
Zhangzhou,8196529
Luoyang,5537493
Mianyang,10356480
Chaozhou,6738696
Karamay,2026126
Xinyang,8226043
Jining,7153253
Jinhua,7171161
Heze,9481907
Qinhuangdao,7269156
Nanyang,7433916
Huai'an,7885978
Fuyang,5326024
Weihai,6309873
Putian,5559850
Chengde,6609468
Shihezi,2028281
Bayannur,1179183
Xingtai,7920185
Jiaxing,14820334
Yulin,4224193
Ordos,3532543
Zhangjiakou,6091997
Dazhou,4746880
Ningde,4688034
Guilin,6479755
Taizhou,8369475
Shaoyang,5407810
