City,Total Outsourced Distances
Beijing,67163181670
Shanghai,38620712042
Chongqing,28579363955
Urumqi,27583843147
Shenzhen,25495817100
Tianjin,21906841704
Chengdu,17254126761
Guangzhou,15177085467
Suzhou,10822842671
Qingdao,10750138905
Zhengzhou,10400680233
Nanjing,9926684445
Xi'an,9812266729
Harbin,9726075697
Xiamen,9154608944
Bayingolin,8969905691
Dongguan,8815559624
Dalian,8383755033
Kunming,8373056532
Changsha,7813446027
Fuzhou,7797359234
Shenyang,7657220694
Changchun,7460957411
Hangzhou,7009813503
Nanning,6893365259
Quanzhou,6823156377
Shijiazhuang,6696047124
Foshan,6632405051
Hefei,6523259125
Wuhan,6426987096
Jinan,6283461823
Nantong,6083499965
Baoding,6042777715
Hohhot,5928768315
Xuzhou,5627543333
Changji,5452943675
Kashgar,5243916978
Lanzhou,5211401229
Taiyuan,5168060682
Langfang,5108502153
Yantai,5101925658
Lhasa,5095658814
Zhanjiang,5035340283
Ili,5012600365
Shantou,4948552831
Wuxi,4866485846
Ningbo,4589851891
Haikou,4584102142
Guiyang,4548036757
Huizhou,4427349619
Weifang,4171181286
Linyi,4007820379
Ganzhou,3892125058
Zhuhai,3885141659
Wenzhou,3861926083
Zhongshan,3684598578
Aksu,3658004756
Changzhou,3613823589
Nanchang,3492194001
Yancheng,3468612835
Sanya,3463948925
Maoming,3450049602
Handan,3446237091
Yinchuan,3208967407
Cangzhou,3185661611
Anshan,3161206715
Jieyang,3150710788
Meizhou,3125708851
Tangshan,3113492232
Suqian,3106358033
Hami,3082880889
Jiangmen,2932938912
Lianyungang,2932369784
Xining,2896066079
Baotou,2869014573
Zhangzhou,2798435203
Luoyang,2783333580
Mianyang,2778210175
Chaozhou,2718326555
Karamay,2697093030
Xinyang,2684563392
Jining,2676026936
Jinhua,2676002662
Heze,2655303915
Qinhuangdao,2627577870
Nanyang,2607957800
Huai'an,2589244844
Fuyang,2570630863
Weihai,2535853704
Putian,2520006319
Chengde,2513089717
Shihezi,2508959179
Bayannur,2487372266
Xingtai,2474709385
Jiaxing,2471794193
Yulin,2433715027
Ordos,2415824826
Zhangjiakou,2403095659
Dazhou,2374719388
Ningde,2355043538
Guilin,2344973744
Taizhou,2334913219
Shaoyang,2328539166
Zhaoqing,2313424784
Nanchong,2308318548
Yibin,2306601229
Zhoukou,2285446358
Xianyang,2241504841
Daqing,2229499723
Zibo,2209012084
Jilin,2198881619
Rizhao,2196168758
Shangqiu,2189281547
Yangzhou,2160354566
Shaoxing,2150017509
Liuzhou,2124935146
Chifeng,2103083701
Tai'an,2055058967
Luzhou,2047680542
Hengyang,2039537275
Yulin,2016194780
Dali,2012277984
Dandong,1999321619
Chaoyang,1964340616
Yongzhou,1954721808
Xinxiang,1953191130
Qingyuan,1943823951
Bozhou,1922910887
Anyang,1912019264
Shaoguan,1892719938
Suzhou,1877918227
Tacheng,1869809014
Nanping,1866898478
Chenzhou,1841902093
Guigang,1833039678
Wuhu,1829692915
Shanwei,1827275546
Zhenjiang,1824296906
Zunyi,1820087247
Yangjiang,1812705418
