City,OGHG Emissions,EGHG Emissions,group
Qitaihe,437.8993884,0.202642559,Non-hub & Undeve.
Wanning,690.95724,688.7400732,Non-hub & Undeve.
Sanya,5168.503891,0.682304948,Non-hub & Deve.
Sanming,1773.386243,2274.541677,Non-hub & Undeve.
Sanmenxia,1066.234488,1189.268015,Non-hub & Undeve.
Shanghai,41984.53813,22159.35167,Hub & Deve.
Shangrao,2130.882113,4188.776345,Hub & Deve.
Dongfang,527.878181,0.138548635,Non-hub & Undeve.
Dongguan,8574.578066,11110.36208,Hub & Deve.
Dongying,1861.51214,579.904395,Non-hub & Undeve.
Zhongwei,510.8626769,71.66434774,Non-hub & Undeve.
Zhongshan,3937.767872,2884.636015,Hub & Deve.
Linxia,395.3628477,55.43550647,Non-hub & Undeve.
Linfen,1956.399602,1884.442785,Non-hub & Undeve.
Linyi,4002.346302,9504.320496,Hub & Deve.
Lincang,983.3722245,0.285954636,Non-hub & Undeve.
Lingao,275.4743424,146.9491049,Non-hub & Undeve.
Dandong,1562.051886,0.764398752,Non-hub & Undeve.
Lishui,570.1871811,152.2104923,Non-hub & Undeve.
Lijiang,833.4123636,388.4318726,Non-hub & Undeve.
Ulanqab,1032.132835,4030.915809,Non-hub & Undeve.
Wuhai,1213.783383,38.61644366,Non-hub & Undeve.
Urumqi,33774.07578,3260.831165,Non-hub & Deve.
Ledong,821.1245466,171.5571063,Non-hub & Undeve.
Leshan,1664.87869,1.290585285,Non-hub & Undeve.
Jiujiang,1679.603973,5510.520333,Hub & Deve.
Yunfu,1482.465038,2218.4965,Non-hub & Undeve.
Wujiaqu,942.4001021,73.43040015,Non-hub & Undeve.
Wuzhishan,208.9666315,72.64783407,Non-hub & Undeve.
Bozhou,2205.149666,324.4748001,Non-hub & Undeve.
Xiantao,433.9274653,2226.251071,Hub & Undeve.
Yichun,590.7550153,0.471830561,Non-hub & Undeve.
Ili,6157.452428,387.6592346,Non-hub & Undeve.
Foshan,6678.099536,15467.95834,Hub & Deve.
Jiamusi,1224.863764,266.4483103,Non-hub & Undeve.
Baoting,290.7257971,11.63672571,Non-hub & Undeve.
Baoding,7222.715535,11652.57177,Hub & Deve.
Baoshan,1150.159452,186.8201125,Non-hub & Undeve.
Xinyang,2832.785875,5523.453187,Hub & Deve.
