City,Net GHG Transfer
Qitaihe,437.6967459
Wanning,2.217166898
Sanya,5167.821586
Sanming,-501.1554337
Sanmenxia,-123.0335272
Shanghai,19825.18646
Shangrao,-2057.894233
Dongfang,527.7396324
Dongguan,-2535.784014
Dongying,1281.607745
Zhongwei,439.1983292
Zhongshan,1053.131857
Linxia,339.9273412
Linfen,71.95681744
Linyi,-5501.974193
Lincang,983.0862699
Lingao,128.5252376
Dandong,1561.287487
Lishui,417.9766889
Lijiang,444.980491
Ulanqab,-2998.782974
Wuhai,1175.16694
Urumqi,30513.24462
Ledong,649.5674403
Leshan,1663.588105
Jiujiang,-3830.91636
Yunfu,-736.0314613
Wujiaqu,868.969702
Wuzhishan,136.3187974
Bozhou,1880.674866
Xiantao,-1792.323606
Yichun,590.2831847
Ili,5769.793193
Foshan,-8789.858808
Jiamusi,958.4154535
Baoting,279.0890714
Baoding,-4429.856233
Baoshan,963.3393398
Xinyang,-2690.667311
Danzhou,1114.417395
Kizilsu,1047.320176
Karamay,3198.744933
Lu'an,464.7057878
Liupanshui,662.1441838
Lanzhou,-1336.577173
Xingan,2060.391434
Neijiang,-1105.385477
Liangshan,-27.45655956
Baotou,2680.907617
Beijing,26006.98506
Beitun,410.1409632
Beihai,1795.107508
Shiyan,720.1425918
Nanjing,2913.730049
Nanchong,-19.23854966
Nanning,2881.59681
Nanping,1481.354593
Nanchang,215.5161954
Nantong,5486.29876
Nanyang,810.8061642
Bortala,1234.04853
Xiamen,8950.525086
Shuanghe,-2.242005459
Shuangyashan,642.2283222
Kekedala,-0.000594981
Taizhou,2144.662937
Hefei,-419.9925441
Ji'an,-2503.553042
Jilin,1624.743661
Turpan,-2419.028392
Lvliang,1250.154033
Wuzhong,-207.7229397
Zhoukou,1005.030723
Hulunbuir,1023.584097
Hohhot,5838.832231
Hotan,1878.433661
Xianning,-4710.990836
Xianyang,-7494.170573
Hami,-9380.357007
Harbin,4924.644731
Tangshan,-1303.350398
Shangqiu,1597.411218
Shangluo,-1423.483176
Kashgar,6644.283064
Jiaxing,-2792.609687
Jiayuguan,-596.6082253
Siping,-1405.720147
Guyuan,-1934.578136
Tumushuke,829.0193141
Tacheng,1443.444594
Daxing'anling,-349.0313927
Datong,338.2357775
Daqing,2052.658698
Dali,1219.816865
Dalian,4975.624604
Tianshui,683.9457232
Tianjin,-7504.639259
Tianmen,-178.7882279
Taiyuan,4922.579114
Weihai,3177.899755
Loudi,1010.553062
Xiaogan,-7742.873281
Ningde,1476.094541
Ningbo,1983.749354
Anqing,-2159.57458
Ankang,7.315762672
Anyang,1243.627687
Anshun,382.768855
Ding'an,-242.3900645
Dingxi,-2345.212512
Yibin,1311.015024
Yichang,-617.7085052
Yichun,-1201.160119
Baoji,-37.30555522
Xuancheng,233.7962416
Suzhou,85.61036527
Suqian,-4446.844631
Tunchang,9.921519416
Shannan,581.1789429
Yueyang,-9477.648951
Chongzuo,628.3413653
Bazhong,1584.865399
Bayannur,2147.057137
Bayingolin,7477.493534
Changzhou,-4088.853657
Changde,386.2483425
Pingliang,-8590.686224
Pingdingshan,-1135.086163
Guangyuan,-429.5348084
Guang'an,420.9385498
Guangzhou,-14321.3421
Qingyang,-1349.272849
Langfang,-19349.43016
Yan'an,-396.2327283
Yanbian,1011.52304
Kaifeng,-743.9278636
Zhangjiakou,-1112.621837
Zhangjiajie,307.1117501
Zhangye,-5315.365941
Xuzhou,2551.35249
Dehong,916.9114046
Dezhou,-14500.81053
Deyang,-3199.075593
Xinzhou,-89.32649916
Huaihua,980.6236721
Nujiang,206.3222853
Enshi,-691.8490036
Huizhou,-4438.327216
Chengdu,-5392.366226
Yangzhou,-5846.694134
Chengde,2571.909144
Fuzhou,-3548.444846
Fushun,-34.0242124
Lhasa,6842.3021
Jieyang,-3105.545994
Panzhihua,866.4874815
Wenshan,731.9402228
Wenchang,628.3410235
Xinxiang,181.7124563
Xinyu,-1032.460477
Wuxi,-3662.407833
Shigatse,806.3405502
Rizhao,2274.556005
Kunming,7850.174368
Kunyu,186.4972951
Changji,-481.4826879
Changjiang,311.8433123
Changdu,-2547.09534
Zhaotong,-3206.615359
Jinzhong,-740.1229245
Jincheng,954.3170791
Pu'er,468.8788189
Jingdezhen,230.0104856
Qujing,-1072.053624
Shuozhou,970.171035
Chaoyang,1554.244439
Benxi,149.1956453
Laibin,189.1344894
Hangzhou,647.428622
Songyuan,-240.580568
Linzhi,-1387.461107
Guoluo,40.79737197
Zaozhuang,586.5203706
Liuzhou,1071.017034
Zhuzhou,884.2033082
Guilin,39.63032761
Meizhou,1126.716844
Wuzhou,106.617226
Chuxiong,512.6055143
Yulin,1571.123626
Wuwei,-4095.373102
Wuhan,-13098.83649
Bijie,-681.1557993
Yongzhou,1422.670293
Hanzhong,-1270.98266
Shantou,2237.134244
Shanwei,679.3552783
Jiangmen,-1930.10346
Chizhou,64.18531023
Shenyang,-3557.139897
Cangzhou,-6225.010946
Hechi,1093.368188
Heyuan,-4900.471826
Quanzhou,6006.278187
Tai'an,-1838.779864
Taizhou,-821.8759246
