City,Net GHG Transfer
Qitaihe,267.2200609
Wanning,239.8242003
Sanya,3348.976875
Sanming,-461.0553532
Sanmenxia,-227.6119686
Shanghai,12706.83522
Shangrao,-2159.870705
Dongfang,350.4753667
Dongguan,1028.136499
Dongying,368.595924
Zhongwei,319.8059131
Zhongshan,1155.325017
Linxia,270.0229746
Linfen,-184.714165
Linyi,-5635.034953
Lincang,631.5848424
Lingao,153.2238489
Dandong,1156.611112
Lishui,165.6550908
Lijiang,250.0551365
Ulanqab,-2887.079177
Wuhai,875.9340491
Urumqi,26619.99734
Ledong,450.2124313
Leshan,903.6396815
Jiujiang,-2662.590384
Yunfu,-884.203116
Wujiaqu,749.240646
Wuzhishan,113.9182316
Bozhou,1004.817142
Xiantao,-1029.456106
Yichun,389.0295424
Ili,4482.906807
Foshan,-2658.643646
Jiamusi,674.569941
Baoting,180.8308076
Baoding,-3364.035259
Baoshan,686.1273164
Xinyang,-2986.840238
Danzhou,863.0336916
Kizilsu,883.9869446
Karamay,2595.283178
Lu'an,-218.7335041
Liupanshui,394.725267
Lanzhou,-973.0903213
Xingan,1660.223912
Neijiang,-959.7354407
Liangshan,-101.7801443
Baotou,2071.165097
Beijing,22195.51092
Beitun,337.3086293
Beihai,1317.928842
Shiyan,134.5280358
Nanjing,1613.773995
Nanchong,173.6839435
Nanning,2970.498756
Nanping,693.9441581
Nanchang,-105.6063461
Nantong,2239.473276
Nanyang,-585.2678846
Bortala,1114.33406
Xiamen,7907.074634
Shuanghe,-0.82954202
Shuangyashan,427.3414392
Kekedala,-0.000220143
Taizhou,1012.030401
Hefei,-1233.863175
Ji'an,-2567.218892
Jilin,928.285549
Turpan,-1729.895827
Lvliang,721.2113817
Wuzhong,-182.9375613
Zhoukou,-95.36266052
Hulunbuir,830.2709039
Hohhot,4930.608887
Hotan,1591.490307
Xianning,-2633.276906
Xianyang,-5878.630684
Hami,-7982.830078
Harbin,5147.429774
Tangshan,-1243.433223
Shangqiu,1027.162358
Shangluo,-1207.902368
Kashgar,5640.234443
Jiaxing,-1060.328332
Jiayuguan,-501.5049818
Siping,-991.2438874
Guyuan,-1745.152438
Tumushuke,664.1954627
Tacheng,1502.422766
Daxing'anling,-287.9427791
Datong,-150.646571
Daqing,1468.896132
Dali,1195.591678
Dalian,3033.434861
Tianshui,389.1467682
Tianjin,-2605.156643
Tianmen,-349.4722385
Taiyuan,3092.279148
Weihai,2220.73505
Loudi,447.63828
Xiaogan,-5605.885521
Ningde,918.766414
Ningbo,1756.527743
Anqing,-2395.202239
Ankang,-217.8672992
Anyang,824.3988276
Anshun,362.1410003
Ding'an,-12.4553837
Dingxi,-1978.677675
Yibin,190.9589346
Yichang,-982.7003889
Yichun,-1175.774899
Baoji,-312.6125305
Xuancheng,-208.5503418
Suzhou,-518.6504389
Suqian,-2792.498668
Tunchang,60.40010811
Shannan,484.1808599
Yueyang,-5425.263859
Chongzuo,515.7531138
Bazhong,732.6238805
Bayannur,1810.477391
Bayingolin,5681.63875
Changzhou,-2754.816809
Changde,21.21159177
Pingliang,-7310.335764
Pingdingshan,-1315.509685
Guangyuan,-795.0178486
Guang'an,-68.5651138
Guangzhou,-3485.24283
Qingyang,-1286.047228
Langfang,-9315.386267
Yan'an,-442.956903
Yanbian,500.8981279
Kaifeng,-536.7797604
Zhangjiakou,-1805.089812
Zhangjiajie,60.89915465
Zhangye,-4566.443057
Xuzhou,1061.865896
Dehong,677.3691621
Dezhou,-6804.263681
Deyang,-1279.327434
Xinzhou,-457.2491432
Huaihua,90.15718762
Nujiang,134.4574581
Enshi,-1159.384572
Huizhou,-3153.133641
Chengdu,1826.472016
Yangzhou,-4497.800774
Chengde,948.2471302
Fuzhou,-3516.255074
Fushun,180.6357581
Lhasa,5868.803321
Jieyang,-2584.564335
Panzhihua,723.1064078
Wenshan,598.1114997
Wenchang,490.8444951
Xinxiang,212.3877176
Xinyu,-695.6011376
Wuxi,-2150.881088
Shigatse,661.1961236
Rizhao,1111.493161
Kunming,7250.847934
Kunyu,157.9918616
Changji,-567.3517098
Changjiang,215.1282644
Changdu,-2172.280993
Zhaotong,-3004.790442
Jinzhong,-35.34333682
Jincheng,652.7272167
Pu'er,328.9567427
Jingdezhen,-191.9891994
Qujing,-1049.799037
Shuozhou,463.4836357
Chaoyang,1019.333664
Benxi,175.90206
Laibin,131.1971504
Hangzhou,360.2421106
Songyuan,-390.1745377
Linzhi,-1241.646855
Guoluo,25.88986362
Zaozhuang,132.5348984
Liuzhou,923.9253509
Zhuzhou,127.471253
Guilin,-502.3523014
Meizhou,196.596186
Wuzhou,-327.1938553
Chuxiong,543.3390895
Yulin,1171.291278
Wuwei,-3496.307818
Wuhan,-5656.177736
Bijie,-727.6963915
Yongzhou,585.8712952
Hanzhong,-1413.154929
Shantou,551.9371573
Shanwei,-67.13196407
Jiangmen,-1237.595987
Chizhou,-205.6354674
Shenyang,-1144.434143
Cangzhou,-5512.398975
Hechi,694.8653213
Heyuan,-4329.869153
Quanzhou,5057.464509
Tai'an,-1615.561807
Taizhou,-114.0576845
Luzhou,-2250.178858
Luoyang,2209.837118
Jinan,-4609.102452
Jining,745.9689583
Jiyuan,288.985233
Haidong,-104.5880498
Haibei,51.82435893
Hainan,-121.1889228
Haikou,4364.778258
Haixi,-151.5863827
Zibo,-1071.723259
Huaibei,8.964366675
Huainan,79.08122928
Huai'an,-2343.147755
Shenzhen,13899.90452
Qingyuan,-4908.099028
Wenzhou,774.1843009
Weinan,-2019.107248
Huzhou,-933.0174483
Xiangtan,-1500.300925
Xiangxi,6.556369384
Zhanjiang,311.1421517
Chuzhou,-1725.358728
Binzhou,-2881.481831
Luohe,-1431.306329
Zhangzhou,-2489.513143
Weifang,-339.0286976
Qianjiang,-297.4626212
Chaozhou,-1310.923432
Chengmai,462.3818186
Puyang,-5.40531947
Yantai,3028.989968
Jiaozuo,947.218416
Mudanjiang,644.4555991
Yulin,-421.1235434
Yushu,-192.8425797
Yuxi,681.5165814
Zhuhai,2426.629328
Qiongzhong,39.68005874
Qionghai,372.3914496
Gannan,121.8239247
Ganzi,-2605.823548
Baicheng,72.39323525
Baishan,295.473183
Baisha,73.93763783
Baiyin,-976.4363525
Baise,184.0142267
Yiyang,313.4307969
Yancheng,553.5424319
Panjin,-894.3672954
Meishan,-951.1456726
Shizuishan,384.5301987
Shijiazhuang,3272.304346
Shihezi,2446.463037
Shennongjia,34.97975108
Fuzhou,4062.856606
Qinhuangdao,-264.4822015
Honghe,1341.633076
Shaoxing,-1157.013793
Suihua,574.7029053
Mianyang,263.2342489
Liaocheng,-766.1508997
Zhaoqing,-2176.561935
Huyanghe,243.6228558
Zigong,-242.5712413
Zhoushan,368.276065
Wuhu,144.9544388
Suzhou,-2144.730989
Maoming,-662.6601869
Jingzhou,-1577.595284
Jingmen,-1746.849411
Putian,1066.802708
Heze,1234.771008
Pingxiang,203.6131634
Yingkou,137.5548201
Huludao,-2334.956311
Bengbu,-409.2210271
Hengshui,-2624.74714
Hengyang,-2940.07692
Quzhou,-2226.410663
Xiangyang,-307.289307
Xishuangbanna,1143.761283
Xining,1927.932891
Xi'an,971.3628123
Xuchang,-1458.468244
Guigang,275.5756302
Guiyang,2623.378561
Hezhou,-771.7032125
Ziyang,-1702.517728
Ganzhou,-3001.73007
Chifeng,983.2449808
Liaoyuan,242.75048
Liaoyang,-171.591787
Dazhou,925.838842
Yuncheng,97.42684086
Lianyungang,1321.895097
Diqing,170.3912274
Tonghua,381.6651502
Tongliao,373.3985597
Suining,-502.4421492
Zunyi,342.9435378
Xingtai,-2675.32411
Naqu,-269.6052483
Handan,-715.0239213
Shaoyang,1234.791836
Zhengzhou,7911.387958
Chenzhou,-1762.834318
Ordos,2089.079931
Ezhou,-818.4263141
Jiuquan,-10605.61341
Chongqing,6829.449101
Jinhua,-1569.907639
Jinchang,-1363.570824
Qinzhou,377.7676584
Tieling,-3490.275024
Tiemenguan,227.0950703
Tongren,-33.12637628
Tongchuan,1.495941066
Tongling,113.1488461
Yinchuan,2846.758567
Xilin Gol,430.0065174
Jinzhou,-792.647447
Zhenjiang,-3631.537643
Changchun,-212.446985
Changsha,1348.042142
Changzhi,-560.8802801
Fuxin,-264.5312907
Fuyang,1249.385641
Fangchenggang,785.7895478
Yangjiang,-1155.631889
Yangquan,418.6135765
Aksu,1543.521436
Altai,1160.071254
Aba,81.88364955
Alxa,-1956.044549
Alaer,1113.398518
Ali,740.9259105
Longnan,-304.481716
Lingshui,647.5794384
Suizhou,-2313.939738
Ya'an,-1051.778907
Qingdao,4666.208612
Anshan,791.1356469
Shaoguan,-555.9934351
Ma'anshan,-1355.929181
Zhumadian,-7163.365843
Jixi,488.2632636
Hebi,-62.81764794
Hegang,396.7336298
Yingtan,-807.1120347
Huanggang,-1804.545466
Huangnan,51.63003932
Huangshan,95.08384066
Huangshi,-2000.018775
Heihe,-202.9411071
Qiandongnan,-736.3691325
Qiannan,-902.6804868
Qianxinan,562.3391275
Qiqihar,568.4828518
Longyan,461.6286999
