City,Net GHG Transfer
Qitaihe,207.6722072
Wanning,149.4382947
Sanya,2769.817011
Sanming,217.2080662
Sanmenxia,256.9348643
Shanghai,6185.318297
Shangrao,233.7948158
Dongfang,290.7010161
Dongguan,-2155.725731
Dongying,231.9276997
Zhongwei,286.3264091
Zhongshan,-22.51251807
Linxia,93.9024942
Linfen,1052.703036
Linyi,-967.6839177
Lincang,482.89942
Lingao,112.3444987
Dandong,256.7670612
Lishui,98.60551104
Lijiang,132.4278496
Ulanqab,-2249.576061
Wuhai,767.3478202
Urumqi,958.5616199
Ledong,374.192222
Leshan,445.9098808
Jiujiang,-1332.895931
Yunfu,-1129.767866
Wujiaqu,138.4946381
Wuzhishan,90.26873794
Bozhou,1087.190054
Xiantao,-401.8997003
Yichun,251.0297345
Ili,1116.498997
Foshan,-5117.522388
Jiamusi,542.5451266
Baoting,152.6566215
Baoding,-2763.463765
Baoshan,507.2272579
Xinyang,-1906.681267
Danzhou,611.622946
Kizilsu,630.9150734
Karamay,560.5757153
Lu'an,291.3113887
Liupanshui,321.1959116
Lanzhou,2058.510076
Xingan,483.0404715
Neijiang,-738.8314984
Liangshan,-612.2459268
Baotou,2156.947883
Beijing,2958.555746
Beitun,70.18038819
Beihai,1117.920903
Shiyan,395.999907
Nanjing,1103.845098
Nanchong,-93.2341284
Nanning,2132.041463
Nanping,1010.351471
Nanchang,212.1596536
Nantong,2092.849635
Nanyang,871.961201
Bortala,230.5474733
Xiamen,6534.736762
Shuanghe,-0.778934716
Shuangyashan,319.4262593
Kekedala,-0.000220143
Taizhou,656.3430557
Hefei,497.6484421
Ji'an,-629.724098
Jilin,304.4822327
Turpan,-800.2322117
Lvliang,528.3171434
Wuzhong,-212.4076582
Zhoukou,589.0042695
Hulunbuir,347.7114283
Hohhot,2967.39203
Hotan,461.9870431
Xianning,-1872.245455
Xianyang,-2799.49099
Hami,41.57784786
Harbin,3284.673072
Tangshan,-564.1743448
Shangqiu,966.9921564
Shangluo,-365.6390199
Kashgar,637.1465413
Jiaxing,-770.1957501
Jiayuguan,114.5979439
Siping,-865.8723724
Guyuan,-560.6151471
Tumushuke,193.4578102
Tacheng,63.95009311
Daxing'anling,-5.996438936
Datong,-344.7520269
Daqing,943.0423599
Dali,788.6869315
Dalian,1470.267659
Tianshui,-12.67070914
Tianjin,-4166.278962
Tianmen,155.4433795
Taiyuan,2252.144375
Weihai,1845.831169
Loudi,410.7574387
Xiaogan,-4936.223423
Ningde,1025.463504
Ningbo,433.1620853
Anqing,-445.7919334
Ankang,-14.38113353
Anyang,1381.50567
Anshun,336.1220969
Ding'an,-40.63244217
Dingxi,-625.67055
Yibin,-369.8157139
Yichang,299.791029
Yichun,-390.6396174
Baoji,-75.33436214
Xuancheng,86.31325566
Suzhou,205.249438
Suqian,-1292.922016
Tunchang,39.03005974
Shannan,36.06675519
Yueyang,-2792.377771
Chongzuo,367.2955706
Bazhong,497.3841307
Bayannur,676.1419538
Bayingolin,1026.936307
Changzhou,-1439.319953
Changde,342.5764208
Pingliang,-2448.146073
Pingdingshan,-350.7456537
Guangyuan,-36.44897061
Guang'an,304.8273535
Guangzhou,-9555.463041
Qingyang,-1315.937503
Langfang,-7194.539012
Yan'an,-506.5685734
Yanbian,223.6357384
Kaifeng,771.6178513
Zhangjiakou,-1597.313779
Zhangjiajie,152.1381491
Zhangye,-73.54791515
Xuzhou,1710.443969
Dehong,553.2784399
Dezhou,-5379.113281
Deyang,-1149.628943
Xinzhou,-496.8459442
Huaihua,445.5880047
Nujiang,104.6815581
Enshi,153.4022386
Huizhou,-3499.508217
Chengdu,-6999.982615
Yangzhou,-2063.854025
Chengde,1003.961519
Fuzhou,-28.27406766
Fushun,-74.76985951
Lhasa,305.2149626
Jieyang,-2886.053006
Panzhihua,580.1901114
Wenshan,432.2456734
Wenchang,392.7815301
Xinxiang,815.9951397
Xinyu,-387.441884
Wuxi,-1550.505458
Shigatse,56.43068623
Rizhao,969.1898149
Kunming,5033.213379
Kunyu,60.46582256
Changji,892.9923736
Changjiang,180.7016241
Changdu,-115.4093545
Zhaotong,-3136.5299
Jinzhong,-120.8200847
Jincheng,565.0784119
Pu'er,201.1471772
Jingdezhen,159.3807912
Qujing,-1060.426981
Shuozhou,405.2243745
Chaoyang,443.7066954
Benxi,19.00575011
Laibin,123.1905828
Hangzhou,-107.7943594
Songyuan,-430.9170292
Linzhi,-14.17275885
Guoluo,8.975001364
Zaozhuang,358.4295446
Liuzhou,735.990625
Zhuzhou,463.9379516
Guilin,565.5975249
Meizhou,-112.0986722
Wuzhou,-462.5964403
Chuxiong,363.6093317
Yulin,1128.01823
Wuwei,12.23695007
Wuhan,-6241.880275
Bijie,-443.4372088
Yongzhou,915.5566027
Hanzhong,-82.62296344
Shantou,65.93911182
Shanwei,-438.4493015
Jiangmen,-2113.739928
Chizhou,34.27438542
Shenyang,-2119.343617
Cangzhou,-1585.477731
Hechi,558.3386238
Heyuan,-2342.893567
Quanzhou,4758.421578
Tai'an,-668.5820859
Taizhou,-327.8926219
Luzhou,-1450.478855
Luoyang,2066.650737
Jinan,-2425.233443
Jining,637.1794305
Jiyuan,259.2752905
Haidong,-299.5692176
Haibei,-100.8430317
Hainan,5.611075422
Haikou,2756.690037
Haixi,232.9502037
Zibo,-317.6241127
Huaibei,313.3199559
Huainan,122.0639093
Huai'an,-544.1557549
Shenzhen,5303.338424
Qingyuan,-880.778216
Wenzhou,528.054208
Weinan,-416.0114035
Huzhou,-355.9344611
Xiangtan,-324.0658438
Xiangxi,271.1023903
Zhanjiang,-423.7077688
Chuzhou,-1019.22992
Binzhou,-1710.013773
Luohe,-1424.672375
Zhangzhou,-2725.461461
Weifang,-990.7916212
Qianjiang,-198.1562393
Chaozhou,-1469.750497
Chengmai,353.0786217
Puyang,1116.814372
Yantai,2253.950632
Jiaozuo,880.9727502
Mudanjiang,418.9751256
Yulin,-696.1768798
Yushu,-168.5228551
Yuxi,458.0069485
Zhuhai,1369.813669
Qiongzhong,21.54337661
Qionghai,270.4648833
Gannan,-50.74560324
Ganzi,-168.041999
Baicheng,-45.76398887
